"BillId","ProductId","ProductName"
1,1,五香牛肉
1,4,原味凤爪
1,11,肉末粉丝煲
1,13,西芹百合
1,23,川香回锅肉
1,26,莼菜银鱼羹
1,17,西芹炒腊肉
1,21,川味蛏子
2,5,浓乡醉鸡
2,29,排骨冬瓜汤
2,11,肉末粉丝煲
2,9,农家窝窝头
2,17,西芹炒腊肉
2,19,香辣银鱼
3,6,啤酒鸭
3,22,飘香肥肠
3,29,排骨冬瓜汤
3,30,椰奶
3,16,香菇青菜
4,19,香辣银鱼
4,10,椒香德蹄
4,3,周庄一绝
4,7,山药荷兰豆炒腊味
4,24,海带排骨汤
4,32,苹果汁
5,9,农家窝窝头
5,11,肉末粉丝煲
5,19,香辣银鱼
5,28,莲藕排骨汤
5,32,苹果汁
6,12,虾仁毛豆烩豆腐
6,11,肉末粉丝煲
6,19,香辣银鱼
6,27,番茄蛋花汤
6,18,双椒鱼头
7,8,咖喱鸡块
7,16,香菇青菜
7,24,海带排骨汤
7,23,川香回锅肉
7,30,椰奶
8,6,啤酒鸭
8,4,原味凤爪
8,21,川味蛏子
8,13,西芹百合
8,12,虾仁毛豆烩豆腐
8,11,肉末粉丝煲
9,11,肉末粉丝煲
9,19,香辣银鱼
9,18,双椒鱼头
9,28,莲藕排骨汤
9,27,番茄蛋花汤
9,31,蓝莓汁
9,23,川香回锅肉
10,9,农家窝窝头
10,11,肉末粉丝煲
10,20,酸辣牛三宝
10,19,香辣银鱼
10,18,双椒鱼头
10,28,莲藕排骨汤
10,30,椰奶
11,23,川香回锅肉
11,16,香菇青菜
11,13,西芹百合
11,12,虾仁毛豆烩豆腐
11,20,酸辣牛三宝
11,21,川味蛏子
11,29,排骨冬瓜汤
11,32,苹果汁
12,31,蓝莓汁
12,22,飘香肥肠
12,13,西芹百合
12,12,虾仁毛豆烩豆腐
12,11,肉末粉丝煲
12,19,香辣银鱼
12,18,双椒鱼头
12,26,莼菜银鱼羹
12,17,西芹炒腊肉
13,2,面酱黄瓜
13,10,椒香德蹄
13,18,双椒鱼头
13,17,西芹炒腊肉
13,19,香辣银鱼
13,20,酸辣牛三宝
13,21,川味蛏子
13,28,莲藕排骨汤
13,30,椰奶
13,16,香菇青菜
13,15,虾干雪菜烩豆腐
14,10,椒香德蹄
14,9,农家窝窝头
14,11,肉末粉丝煲
14,20,酸辣牛三宝
14,21,川味蛏子
14,22,飘香肥肠
14,30,椰奶
15,20,酸辣牛三宝
15,19,香辣银鱼
15,18,双椒鱼头
15,17,西芹炒腊肉
15,15,虾干雪菜烩豆腐
15,16,香菇青菜
15,31,蓝莓汁
15,32,苹果汁
16,25,西湖牛肉羹
16,17,西芹炒腊肉
16,9,农家窝窝头
16,19,香辣银鱼
16,28,莲藕排骨汤
16,29,排骨冬瓜汤
16,22,飘香肥肠
16,14,咸肉娃娃菜
16,8,咖喱鸡块
